Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID,batter_id,avg_protection_score,games_x,total_pa,avg_batting_order,batter,avg_ondeck_protection,avg_preceding_protection,games_y,total_pitches,Team_Abbr,park_factor,wOBA_park_adj,heart_pct,avg_pitcher_fip_minus,avg_pitcher_fip,unique_pitchers_faced,ondeck_adj,preceding_adj,protection_adj,park_adj,pitcher_adj,pitch_quality_adj,wOBA_true_talent,total_context_adj
Julio Rodríguez,SEA,143,613,20,76,68,24,0.061990212,0.254486133,0.135802469,0.34351145,0.273368606,0.324632952,0.409171075,0.3205533640252219,0.3484102136948529,116.13648348758166,1.9585171416401863,13.27665500843144,4.657743453979492,3.950648034283352,Julio Rodriguez,23697,677594,677594,0.3182996310376907,141,615,4.923577235772358,677594,0.3242414111551904,0.3300347765917328,91,1531,SEA,93.54020357131958,0.34269047082072734,0.08556499020248204,100.13085270618257,3.818140207038001,185,-0.00087054143144642,-0.00020570094695406829,-0.0010762423784004883,-0.022137106795505457,-0.00013085270618256573,-0.0030003628453751795,0.3450500089885652,-0.02608285931309856
Freddie Freeman,LAD,147,638,22,81,89,9,0.122257053,0.156739811,0.193726938,0.306074766,0.282287822,0.377742946,0.47601476,0.365357109492079,0.3680987024003533,135.79948589731632,-1.4705990627408028,25.84173105728873,-8.921481013298035,3.9501572648169248,Freddie Freeman,5361,518692,518692,0.3425641018277862,145,629,5.079491255961845,518692,0.33705598275500304,0.40825780779390636,90,1537,LAD,99.1439938545227,0.3685115913609247,0.09420289855072464,99.93191642197658,3.8105544669305598,187,0.0004109157285348442,0.0076166021732632875,0.008027517901798132,-0.0031544818688457044,6.808357802341902e-05,-0.0017046765931387896,0.35910855825133664,0.0031002758617902195
Riley Greene,DET,137,584,24,82,74,4,0.109589041,0.267123287,0.216796875,0.329341317,0.26171875,0.34819897,0.478515625,0.3553962396136645,0.3551679681108884,133.72925301154325,-0.1670323684811592,22.37147637468277,-3.6058192253112793,3.937225626867801,Riley Greene,25976,682985,682985,0.3102929242414344,139,597,4.97822445561139,682985,0.3296120829395061,0.3254687229618137,90,1584,DET,100.305438041687,0.3543140297796832,0.1123882503192848,100.46192066309375,3.8307643268110914,187,-0.0003334742530148483,-0.0006623063099459814,-0.0009957805629608298,0.001082209833981329,-0.0004619206630937498,0.0010231261721452348,0.35151969514074133,0.0015714761062594839
Jackson Chourio,MIL,148,573,21,80,79,22,0.068062827,0.211169284,0.189393939,0.319587628,0.274621212,0.326923076,0.464015151,0.3385496990571559,0.3271342551687197,117.99710439718524,3.9631444588303566,16.294719278040255,2.5781469345092773,3.9274088466165615,Jackson Chourio,28806,694192,694192,0.3297325788205798,147,585,4.994871794871795,694192,0.3178818201389187,0.3157892914993269,77,1050,MIL,98.89779090881348,0.3423228122145905,0.10813397129186603,100.33761937701263,3.8260245315796904,163,-0.0015065005330735905,-0.0016302494561946602,-0.003136749989268251,-0.0037731131574346155,-0.0003376193770126292,0.0003849843180324185,0.3433406706420091,-0.006187259451657818
Nico Hoerner,CHC,151,641,7,86,48,31,0.068642745,0.102964118,0.099656357,0.296875,0.273195876,0.335413416,0.372852233,0.3131190129555762,0.3180648970865121,101.8986930017144,4.9888085797429085,6.44418074163729,9.797253847122192,3.890408138846308,Nico Hoerner,21479,663538,663538,0.3305218304219544,149,641,4.901716068642745,663538,0.3347349112081312,0.33229198690224654,82,1323,CHC,97.8569507598877,0.3199762618026783,0.09704321455648218,100.49464786144121,3.832012264170027,169,0.00017880857384766082,2.002008409730527e-05,0.0001988286579449661,-0.006857248847102093,-0.0004946478614412087,-0.0012786291922751581,0.32158268101208737,-0.007442401519991077
Trea Turner,PHI,121,539,21,88,62,19,0.050092764,0.181818181,0.174257426,0.330749354,0.295049504,0.337662337,0.46930693,0.3490665514084315,0.3217424174410764,122.75492973144708,2.6365917176008224,17.30306003082867,2.0466654300689697,3.8592739991692535,Trea Turner,16252,607208,607208,0.3743414777140565,121,541,4.903881700554528,607208,0.36922140204203546,0.3562288696596357,52,891,PHI,101.27016305923462,0.3446884460966619,0.09988776655443322,99.78806407535157,3.8050691603174487,118,0.003627457657238087,0.00241370835983622,0.006041166017074307,0.004378105311769631,0.00021193592464842937,-0.0008519463925825019,0.3388174541412134,0.009355389011613008
Jose Altuve,HOU,153,682,20,94,65,22,0.068914956,0.174486803,0.144904458,0.337423312,0.294585987,0.350439882,0.439490445,0.344237520589548,0.3191562478426454,126.72242722685444,-0.7089373022317886,20.143935064171327,-5.394512057304382,3.857912079547575,Jose Altuve,5417,514888,514888,0.362114567545028,155,691,4.934876989869753,514888,0.34828759843906487,0.32429670859088594,89,1409,HOU,99.48140382766724,0.3460320294493175,0.09026297085998579,100.79892615267593,3.843614853646631,170,0.0015340772969410278,-0.0007795077470387547,0.0007545695499022731,-0.0017945088597695058,-0.0007989261526759322,-0.002295665746749617,0.3451741875282168,-0.0025366789039409175
Eugenio Suárez,ARI,158,640,30,90,101,2,0.0765625,0.275,0.213660246,0.308510638,0.255691768,0.31875,0.469352014,0.3372951490804553,0.3366846288525083,115.44647922839142,-1.114725163206458,10.706725202296504,5.168506145477295,3.849135035198385,Eugenio Suarez,12552,553993,553993,0.3362449672961731,157,642,4.858255451713395,553993,0.33041798440436415,0.3335426221945008,87,1427,ARI,100.64197778701782,0.33514360160354906,0.11360448807854137,99.9711060945149,3.8120488281626397,176,-0.00025288410652904436,0.0001450836133227329,-0.00010780049320631145,0.002151547476906268,2.889390548510562e-05,0.00120556183603372,0.3337446687336629,0.003220414914248571
Colton Cowser,BAL,153,561,24,77,69,9,0.092691622,0.306595365,0.204408818,0.316993464,0.242484969,0.320855614,0.446893787,0.3314574734042923,0.3331306198202007,118.6189228018079,1.124476321041584,13.075992944735589,5.499361038208008,3.838837854871302,Colton Cowser,29591,681297,681297,0.3442792579111227,151,571,5.038528896672505,681297,0.33145534027067575,0.3321028004859685,82,1171,BAL,98.61453771591188,0.3361142090014688,0.10068846815834767,100.62167502646236,3.836856001270484,152,-0.00014914851989788482,1.1014424695032777e-06,-0.00014804707742838155,-0.004656735597176498,-0.0006216750264623557,-0.0007318411519953348,0.3358125879680639,-0.004914948800137859
Ezequiel Tovar,COL,157,695,26,83,78,6,0.033093525,0.287769784,0.2,0.344036697,0.26870229,0.294629898,0.46870229,0.3244099165637826,0.2916570079797881,94.34281409814776,0.0628998503088951,-4.638709478025523,16.835220336914062,3.659090674650288,Ezequiel Tovar,24064,678662,678662,0.3185162918640437,157,697,4.865136298421808,678662,0.3186774314311876,0.33022273705734045,89,1438,COL,113.34958076477052,0.28620301405173826,0.10013908205841446,99.57984624917259,3.797129501036918,195,-0.0014269394038467,-0.0001869049003933032,-0.0016138443042400031,0.03820690251204434,0.00042015375082741005,-0.0008142490669853168,0.29322354304048864,0.03535865538999161
